[[[ 0.45336375 -0.00351965 -0.44669768]
  [ 0.2637685  -0.3648798  -0.2769018 ]
  [-0.10715699 -0.24637075 -0.05001776]
  [ 0.07894363 -0.22775376  0.11450025]
  [ 0.31801054 -0.1430973  -0.26327386]
  [ 0.2650026   0.29918852 -0.3501421 ]
  [-0.67745095 -0.8923095   0.24588941]
  [-0.55760086 -0.6613099   0.18371022]
  [-0.35134324 -0.50075275  0.2741195 ]
  [-0.11300214 -0.50734925  0.40526247]
  [ 0.08917499 -0.68273664  0.4628433 ]
  [-0.03171476 -0.8830554   0.5822429 ]
  [-0.24055536 -0.5317854   0.34411523]
  [-0.27416605 -0.7409686   0.35377878]
  [-0.20233494 -0.668404    0.23983479]
  [-0.19610852 -0.7050144   0.28803572]
  [-0.25432977 -0.6954431   0.25897747]
  [-0.19759123 -0.68119717  0.38647833]
  [-0.32902473 -0.65966505  0.3237943 ]]]
