[[[-2.00053394e-01 -7.05786347e-02  8.79952550e-01]
  [-1.21319242e-01 -9.78001729e-02  4.11575317e-01]
  [-1.20296896e-01 -1.74466461e-01 -1.79802999e-02]
  [ 1.21319309e-01 -2.28028342e-01  7.00914254e-03]
  [-5.87146804e-02 -1.45532683e-01  4.11952019e-01]
  [-2.32376307e-01 -6.83531761e-02  8.51798415e-01]
  [-1.37147918e-01  5.67455232e-01 -5.08884549e-01]
  [-1.20485768e-01  2.89983302e-01 -4.71527159e-01]
  [-7.88666308e-04  4.76428717e-02 -4.00495321e-01]
  [ 1.87616378e-01  6.75608590e-02 -3.20670813e-01]
  [ 1.49366915e-01  3.33448768e-01 -2.30618060e-01]
  [ 9.07556061e-03  5.67488253e-01 -2.46235967e-01]
  [ 1.06836595e-01  7.22081959e-02 -3.83142799e-01]
  [ 1.45249605e-01  1.87600121e-01 -5.31295776e-01]
  [ 1.57542780e-01  2.51312315e-01 -3.89087915e-01]
  [ 1.89283699e-01  2.33875141e-01 -4.39998001e-01]
  [ 1.24389127e-01  2.51873046e-01 -4.41519976e-01]
  [ 2.00469822e-01  1.38542965e-01 -4.67902124e-01]
  [ 7.00783059e-02  1.73391610e-01 -4.74968076e-01]]]
