[[[-0.3780118   0.53950197  0.07587523]
  [-0.08766196  0.19133018 -0.00487624]
  [-0.01782937 -0.24339199 -0.10827698]
  [ 0.03742878 -0.24942055  0.13151367]
  [ 0.09471302  0.1828255   0.08263111]
  [-0.11985093  0.5264945   0.3051436 ]
  [ 0.1659608  -0.1284713  -0.24408059]
  [ 0.06933777 -0.37789428 -0.24416043]
  [ 0.11418525 -0.63918835 -0.14620376]
  [ 0.12698054 -0.64008933  0.14289878]
  [ 0.04584807 -0.38706702  0.24645957]
  [ 0.08997086 -0.13542543  0.30810547]
  [ 0.15136227 -0.7064206  -0.00305462]
  [ 0.19999376 -0.9148243  -0.02911103]
  [ 0.30296272 -0.80725014 -0.05896148]
  [ 0.28847122 -0.8551849  -0.02196736]
  [ 0.2619697  -0.8476511  -0.08177784]
  [ 0.21862693 -0.8528822   0.04966268]
  [ 0.16305156 -0.8397608  -0.08006525]]]
