[[[ 0.2932043   0.46033412  0.01747504]
  [ 0.1684217   0.09427716  0.1966165 ]
  [ 0.11769682 -0.267034    0.02114159]
  [-0.11923594 -0.2936146   0.0082974 ]
  [-0.24205497  0.08716299  0.10156502]
  [-0.3546266   0.47990447 -0.04166492]
  [ 0.45548558 -0.8251846   0.43485147]
  [ 0.40085328 -0.6680683   0.23662975]
  [ 0.22464277 -0.7013372   0.02843217]
  [-0.03775536 -0.7852744  -0.01028891]
  [-0.26220828 -0.9054442   0.0763343 ]
  [-0.20947349 -1.0793151   0.2532806 ]
  [ 0.10632753 -0.7857458   0.0084755 ]
  [ 0.15417296 -0.9904022  -0.02281528]
  [ 0.15142897 -0.9418403   0.12638184]
  [ 0.12308093 -0.9764518   0.08255973]
  [ 0.18697777 -0.95793843  0.07630749]
  [ 0.06392878 -0.94243175  0.00209556]
  [ 0.20834148 -0.9012789  -0.01214632]]]
