[[[ 0.1975589   0.52071977  0.04487268]
  [ 0.14949295  0.11906846  0.1454792 ]
  [ 0.10106136 -0.24560538 -0.03112913]
  [-0.10174    -0.26677182  0.05881311]
  [-0.1101106   0.12799354  0.17332944]
  [-0.2634234   0.5109359   0.07325931]
  [ 0.58900166 -0.54017603  0.20962113]
  [ 0.40284008 -0.55329347  0.04224893]
  [ 0.16833949 -0.6707108  -0.01240327]
  [-0.08426966 -0.6579871   0.11086554]
  [-0.15191188 -0.47715062  0.2939471 ]
  [-0.1039483  -0.4570188   0.533166  ]
  [ 0.04067349 -0.7237427   0.04751737]
  [-0.01537713 -0.91181105  0.02243218]
  [ 0.12867883 -0.88698685  0.0547928 ]
  [ 0.07761937 -0.9137262   0.07328044]
  [ 0.08706896 -0.89747137  0.01133976]
  [-0.00224323 -0.86516064  0.11219227]
  [ 0.02020813 -0.8358024  -0.02405155]]]
