[[[-0.10172264  0.49702278  0.15562849]
  [-0.06119595  0.13091977 -0.00122151]
  [-0.07558939 -0.27037972 -0.07845779]
  [ 0.07710119 -0.27173546  0.08686867]
  [ 0.06414037  0.11499983  0.14751597]
  [-0.00840949  0.47335774  0.3233091 ]
  [-0.3436853  -0.5699742  -0.3505473 ]
  [-0.17907734 -0.6639949  -0.2030494 ]
  [ 0.0640163  -0.7269552  -0.15883052]
  [ 0.22603655 -0.679745    0.02623789]
  [ 0.11247893 -0.53700495  0.20482555]
  [ 0.08962373 -0.32360476  0.30258605]
  [ 0.18720233 -0.73854804 -0.09463657]
  [ 0.25337917 -0.92267174 -0.14484687]
  [ 0.3222015  -0.80483425 -0.21879569]
  [ 0.3287646  -0.8499828  -0.17663883]
  [ 0.2806937  -0.85110134 -0.22157864]
  [ 0.29256147 -0.8516546  -0.08193315]
  [ 0.18711264 -0.8552897  -0.18128613]]]
