[[[-0.23333032  0.44209442  0.49270344]
  [-0.11357416  0.17453797  0.16759542]
  [-0.07280038 -0.16869444 -0.07180886]
  [ 0.0850405  -0.2608063   0.07742619]
  [ 0.10654969  0.08342904  0.30738056]
  [ 0.03751497  0.3304394   0.66781765]
  [-0.10616628 -0.31134444 -0.4120488 ]
  [-0.30223858 -0.35198307 -0.2868296 ]
  [-0.10976756 -0.5298134  -0.24325304]
  [ 0.08939146 -0.6028272  -0.0723628 ]
  [ 0.20017666 -0.49078214  0.14701425]
  [ 0.2496538  -0.39200726 -0.0566076 ]
  [-0.00549135 -0.6169257  -0.18442607]
  [-0.04069608 -0.7962908  -0.21062091]
  [ 0.04871643 -0.7346536  -0.31443018]
  [ 0.04711279 -0.7748534  -0.27026677]
  [-0.00536456 -0.75707436 -0.3036821 ]
  [ 0.03840296 -0.7506114  -0.17735474]
  [-0.07177034 -0.7168866  -0.24591543]]]
