[[[-0.41915703  0.44628626  0.38678044]
  [-0.16338903  0.18942523  0.11109371]
  [-0.06017812 -0.17961353 -0.08102372]
  [ 0.079574   -0.25705558  0.08460944]
  [-0.01259639  0.10809042  0.30211088]
  [-0.18463384  0.38047016  0.6280168 ]
  [ 0.07456555 -0.25199023 -0.36579087]
  [-0.14271796 -0.28257328 -0.24912842]
  [-0.08909748 -0.5515219  -0.22141723]
  [ 0.05228329 -0.6271346   0.00426265]
  [ 0.02834148 -0.4799094   0.23475271]
  [ 0.20463239 -0.3299203   0.17309885]
  [-0.01230814 -0.6503845  -0.13326679]
  [-0.04149878 -0.8337961  -0.13233417]
  [-0.01181148 -0.77419853 -0.26581043]
  [ 0.00673975 -0.8157042  -0.22567171]
  [-0.05485187 -0.7940109  -0.22778265]
  [ 0.04958549 -0.7915981  -0.14138289]
  [-0.08064052 -0.7522723  -0.1471002 ]]]
