[[[-0.6072382   0.1517214   0.14703082]
  [-0.3994517  -0.1957676   0.03937292]
  [-0.01800541 -0.26466408  0.12824446]
  [ 0.0585247  -0.19216385 -0.09152896]
  [-0.3246895  -0.18625784 -0.18820582]
  [-0.5131023   0.18424584 -0.1141656 ]
  [-0.04424202 -0.19365619  0.30640122]
  [ 0.10059252 -0.3813023   0.26577908]
  [ 0.08158241 -0.60195535  0.13430214]
  [ 0.15067908 -0.5931691  -0.12746206]
  [ 0.16866365 -0.34140456 -0.20151246]
  [ 0.02810339 -0.1515113  -0.25369382]
  [ 0.09469186 -0.65345716  0.0043764 ]
  [ 0.02126901 -0.84299874  0.02632931]
  [-0.06265597 -0.71621644  0.0344231 ]
  [-0.05484645 -0.7642158   0.0024436 ]
  [-0.03721762 -0.7593723   0.06510928]
  [ 0.02585744 -0.7863382  -0.0535832 ]
  [ 0.06030058 -0.7724803   0.08093893]]]
