[[[-0.46723583  0.3857445   0.02302734]
  [-0.26813552  0.05467986 -0.08031793]
  [-0.08313803 -0.2983668  -0.01941187]
  [ 0.09325062 -0.17542717  0.0444806 ]
  [-0.03670747  0.13580538 -0.14677769]
  [-0.2370654   0.40565103  0.07461305]
  [ 0.15279555 -0.96120626  0.07349622]
  [ 0.0040564  -0.80857503  0.00471773]
  [ 0.15630493 -0.6421352   0.06850178]
  [ 0.34509256 -0.5582767   0.05391931]
  [ 0.44584876 -0.7359603  -0.06666075]
  [ 0.3837736  -0.9120468   0.06702574]
  [ 0.26360506 -0.6154105   0.05844491]
  [ 0.36425564 -0.76629853  0.07761917]
  [ 0.2756297  -0.7595781  -0.04479577]
  [ 0.33122176 -0.76424813 -0.02752376]
  [ 0.28148428 -0.780326    0.01054163]
  [ 0.3865556  -0.69195586  0.01648858]
  [ 0.27705738 -0.72924024  0.09639096]]]
