[[[-0.6577016   0.07669694  0.24813037]
  [-0.39501542 -0.20272134  0.09622757]
  [-0.00101044 -0.27576235  0.11541003]
  [ 0.02390071 -0.15948889 -0.0882272 ]
  [-0.37767243 -0.1675721  -0.08602127]
  [-0.5748893   0.1507579   0.0927555 ]
  [ 0.25067216 -0.77495164  0.26980528]
  [ 0.24476436 -0.5550795   0.31968075]
  [ 0.25950655 -0.53097093  0.07624269]
  [ 0.28810775 -0.5484791  -0.13656563]
  [ 0.27312827 -0.76211613 -0.26062554]
  [ 0.2394363  -0.9231794  -0.09748651]
  [ 0.26763302 -0.5598762  -0.02815556]
  [ 0.29744297 -0.73966676 -0.01060094]
  [ 0.16070782 -0.68476117  0.02545722]
  [ 0.1868519  -0.72042    -0.01101207]
  [ 0.21146518 -0.7035808   0.04659007]
  [ 0.25211996 -0.69558555 -0.08334096]
  [ 0.30055487 -0.65825975  0.04197956]]]
