[[[-0.7637173   0.06659868  0.09842055]
  [-0.40026203 -0.1489924   0.01993091]
  [-0.02472635 -0.2807346   0.10849734]
  [ 0.05816202 -0.1609447  -0.07987317]
  [-0.34053013 -0.1619599  -0.15909901]
  [-0.7081007   0.05557812 -0.11022843]
  [-0.14135167 -0.17419095  0.20448494]
  [ 0.04352152 -0.33402112  0.20969117]
  [ 0.14354603 -0.5539436   0.1274814 ]
  [ 0.25073728 -0.5427551  -0.11793061]
  [ 0.18067434 -0.3150584  -0.2244935 ]
  [ 0.00984347 -0.15384181 -0.295467  ]
  [ 0.19659021 -0.6032437   0.0092064 ]
  [ 0.17964496 -0.79557884  0.04349343]
  [ 0.06274453 -0.7056617   0.01155608]
  [ 0.09345977 -0.75128835 -0.00924899]
  [ 0.09165546 -0.7349132   0.05359115]
  [ 0.18725681 -0.748309   -0.04201625]
  [ 0.17850335 -0.7132305   0.09084439]]]
