[[[-0.555217    0.25253975  0.01503157]
  [-0.390302   -0.12017153  0.11819108]
  [ 0.0273841  -0.19985297  0.12886307]
  [-0.01210854 -0.27156785 -0.09090556]
  [-0.40070164 -0.10944455 -0.05950318]
  [-0.5116136   0.28927433 -0.15948385]
  [ 0.26601014 -0.7389901   0.5899886 ]
  [ 0.28742582 -0.6059756   0.38486463]
  [ 0.34993365 -0.53325313  0.14793184]
  [ 0.37525165 -0.511804   -0.06651302]
  [ 0.3974572  -0.45815438 -0.31368667]
  [ 0.42714465 -0.5791751  -0.5239377 ]
  [ 0.36485165 -0.55365896  0.04660715]
  [ 0.44951335 -0.71855193  0.03107945]
  [ 0.32471758 -0.70949966  0.12225917]
  [ 0.34637406 -0.73498106  0.07297395]
  [ 0.38504386 -0.70969975  0.11952773]
  [ 0.3680485  -0.6902673  -0.01706108]
  [ 0.44704992 -0.63629156  0.08655497]]]
