[[[-0.6709445   0.00929148  0.43784004]
  [-0.3445515  -0.05413865  0.17105134]
  [-0.02799869 -0.14417511 -0.09370506]
  [ 0.04787955 -0.23912172  0.10433596]
  [-0.25958443  0.00502664  0.2121373 ]
  [-0.59166014  0.18671493  0.4106303 ]
  [ 0.71920156 -0.43568468 -0.24364117]
  [ 0.5456583  -0.32500622 -0.35886455]
  [ 0.40052658 -0.34783274 -0.17235541]
  [ 0.42122772 -0.36745894 -0.01414561]
  [ 0.48587766 -0.46966648  0.20244159]
  [ 0.7045082  -0.43997303  0.16475292]
  [ 0.44327164 -0.34894583 -0.09450012]
  [ 0.61708444 -0.38221455 -0.14776114]
  [ 0.60003734 -0.28790042 -0.02923999]
  [ 0.6187949  -0.34226868 -0.04379052]
  [ 0.62190276 -0.29013318 -0.08316861]
  [ 0.5602135  -0.40742475 -0.08107279]
  [ 0.5661408  -0.30740714 -0.15989299]]]
