[[[ 0.02649546  0.5345128   0.34204313]
  [ 0.09887724  0.15364042  0.19917575]
  [ 0.09836906 -0.17319258 -0.03814134]
  [-0.0843927  -0.23396553  0.07372758]
  [-0.01416217  0.10927405  0.27484587]
  [-0.10553972  0.49730828  0.4063251 ]
  [ 0.35014167 -0.46442547  0.06784312]
  [ 0.2743532  -0.36096156 -0.12139767]
  [ 0.0945214  -0.49648908 -0.21936436]
  [-0.10843642 -0.541103   -0.10495915]
  [-0.15935344 -0.42074895  0.10905626]
  [-0.12559132 -0.5148246   0.3057534 ]
  [-0.00723924 -0.5635573  -0.1826192 ]
  [-0.00836821 -0.7280483  -0.25826874]
  [ 0.04715225 -0.7025368  -0.12533033]
  [ 0.00438648 -0.7299259  -0.15102908]
  [ 0.06034045 -0.718495   -0.17763674]
  [-0.06031774 -0.6847238  -0.1988753 ]
  [ 0.05125377 -0.66391903 -0.25118423]]]
