[[[-0.43174645  0.3397587   0.22634733]
  [-0.12625104  0.15423812 -0.01120287]
  [-0.05980341 -0.26557186 -0.0911305 ]
  [ 0.05565824 -0.28900626  0.11699402]
  [ 0.23168305  0.07621583  0.04405162]
  [ 0.11925714  0.45747542  0.20519452]
  [ 0.5692998  -0.777206   -0.18888845]
  [ 0.32590222 -0.69224536 -0.24160585]
  [ 0.06853398 -0.7268466  -0.16784129]
  [ 0.09401136 -0.72092676  0.11820822]
  [ 0.29123104 -0.58016753  0.24680755]
  [ 0.5271324  -0.6583792   0.19667086]
  [ 0.0781259  -0.78148776 -0.03258953]
  [ 0.13674845 -0.9943698  -0.07711914]
  [ 0.22154942 -0.8696291  -0.10772446]
  [ 0.21563573 -0.92119616 -0.07237409]
  [ 0.18245006 -0.9143397  -0.12938935]
  [ 0.15169382 -0.9345069   0.00882278]
  [ 0.07763283 -0.92201877 -0.12032253]]]
