[[[-0.16842702  0.5407002   0.11334875]
  [-0.03854055  0.16155294  0.00575161]
  [-0.01206122 -0.23440324 -0.10094723]
  [ 0.0277061  -0.27754515  0.1228637 ]
  [-0.01420162  0.11941759  0.18797316]
  [-0.1251689   0.50186867  0.31100816]
  [ 0.12931854 -1.1401625  -0.34988323]
  [ 0.01658593 -0.92563003 -0.31797206]
  [ 0.04420393 -0.73067427 -0.15427297]
  [ 0.0542603  -0.7320821   0.06048077]
  [ 0.02610637 -0.8326057   0.29304677]
  [ 0.21515542 -0.95517117  0.23327531]
  [ 0.07980018 -0.75238824 -0.05458935]
  [ 0.13721539 -0.94372755 -0.06909827]
  [ 0.25208208 -0.8390071  -0.07241005]
  [ 0.22475943 -0.8833122  -0.04010286]
  [ 0.21719465 -0.8786589  -0.10499963]
  [ 0.13587739 -0.8777036   0.00811525]
  [ 0.11864862 -0.8694962  -0.13551024]]]
