[[[-0.10117424  0.57479876  0.2786074 ]
  [-0.08599716  0.16508996  0.17207943]
  [-0.05259517 -0.23861513  0.12154627]
  [ 0.03849581 -0.19821733 -0.09198884]
  [-0.11130991  0.17933632 -0.05971497]
  [-0.15264629  0.60202307 -0.02011516]
  [-0.19398355 -0.53665143  0.5549063 ]
  [-0.03775473 -0.4935033   0.37834603]
  [-0.00331439 -0.58822864  0.14494614]
  [ 0.03159627 -0.6713081  -0.04547004]
  [ 0.03701432 -0.8995654  -0.14074211]
  [-0.04287328 -1.1301901  -0.13451086]
  [ 0.00211758 -0.65588295  0.05042397]
  [ 0.03618933 -0.7980122   0.12329901]
  [-0.11263321 -0.788398    0.09442782]
  [-0.06438239 -0.81964684  0.08138609]
  [-0.07144397 -0.78491104  0.13614629]
  [ 0.01264724 -0.7858504   0.02974167]
  [-0.00278732 -0.7153328   0.14593475]]]
