[[[ 0.00462006  0.5733249   0.06096935]
  [ 0.02517864  0.1566705   0.11317984]
  [ 0.0963634  -0.25810558  0.07501304]
  [-0.10317735 -0.24787676 -0.0381844 ]
  [-0.18368575  0.11915861  0.12761058]
  [-0.18143089  0.54034644  0.07454184]
  [ 0.09183355 -0.285903    0.36048913]
  [ 0.16745412 -0.43503833  0.17863654]
  [ 0.10360955 -0.66421974  0.07902727]
  [-0.08314404 -0.7212764  -0.08594076]
  [-0.31212074 -0.8092229  -0.16185147]
  [-0.44455507 -1.0103464  -0.10646115]
  [ 0.00179234 -0.7377698   0.00301514]
  [-0.04790169 -0.9409398   0.01323244]
  [-0.11698406 -0.83584654  0.09908453]
  [-0.12353686 -0.87393665  0.05231933]
  [-0.0773531  -0.8820077   0.09805243]
  [-0.08220735 -0.8652849  -0.03824048]
  [ 0.01754371 -0.88203174  0.06070778]]]
