[[[-0.04645125  0.44882336  0.21795973]
  [-0.13719636  0.04054717  0.26079938]
  [ 0.0650324  -0.29416725  0.10311295]
  [-0.06409033 -0.23497707 -0.08540191]
  [-0.12991859  0.15349112  0.04536231]
  [-0.01680613  0.5698819   0.06544747]
  [-0.0399911  -0.21002191  0.3432427 ]
  [-0.00357676 -0.4342513   0.22438787]
  [-0.11084089 -0.6588185   0.12445971]
  [-0.26425877 -0.5935482  -0.11174735]
  [-0.27283067 -0.3219017  -0.13949558]
  [-0.3015966  -0.09767239 -0.02376531]
  [-0.22093406 -0.6867584   0.01137385]
  [-0.33664012 -0.8741824   0.02572641]
  [-0.3409575  -0.7643386   0.13167232]
  [-0.37246966 -0.7934574   0.08696599]
  [-0.31876624 -0.8195867   0.11532754]
  [-0.3608153  -0.78309554 -0.0152263 ]
  [-0.24452832 -0.84186655  0.04926667]]]
