[[[ 0.00380525  0.5241302   0.3593856 ]
  [-0.04088927  0.1348924   0.19798002]
  [-0.01981725 -0.2667706   0.12321948]
  [ 0.01119081 -0.23697023 -0.10498964]
  [-0.17324544  0.11363972 -0.07738627]
  [-0.3343883   0.50483125 -0.06084527]
  [-0.11064104 -0.12382673  0.3259686 ]
  [-0.06517521 -0.36219656  0.25427932]
  [-0.15768862 -0.59319305  0.16266441]
  [-0.22364016 -0.6015503  -0.10215486]
  [-0.20333515 -0.3535825  -0.19060563]
  [-0.2871724  -0.12093367 -0.18202646]
  [-0.23028977 -0.6424132   0.04275408]
  [-0.38949108 -0.77327895  0.08968773]
  [-0.37105542 -0.63491404  0.14783682]
  [-0.40587056 -0.6687321   0.11147039]
  [-0.36665627 -0.6944041   0.15670586]
  [-0.38046902 -0.70080817  0.01910722]
  [-0.29967672 -0.7561701   0.11980516]]]
