[[[-0.10022566  0.5547791   0.23350088]
  [-0.15301709  0.16515893  0.07103962]
  [-0.1076692  -0.2435267   0.06189453]
  [ 0.09970009 -0.23225535 -0.0459375 ]
  [ 0.01730089  0.1743285  -0.07793558]
  [ 0.06880236  0.569922    0.080134  ]
  [-0.39759442 -0.40751404  0.44192088]
  [-0.24852471 -0.46552798  0.26372755]
  [-0.13736655 -0.6329748   0.0960369 ]
  [ 0.05982167 -0.6792445  -0.06805647]
  [ 0.17447892 -0.5487946  -0.2581406 ]
  [ 0.05936498 -0.61603904 -0.45075086]
  [-0.05981609 -0.7056788   0.00861489]
  [-0.11394996 -0.89392805  0.0385178 ]
  [-0.18969968 -0.8117819  -0.06484456]
  [-0.15355551 -0.8594283  -0.05740177]
  [-0.19094846 -0.8359611  -0.00957634]
  [-0.05822105 -0.8548004  -0.03264247]
  [-0.13842902 -0.8064346   0.06874084]]]
