[[[-0.5799385   0.35850996  0.28264898]
  [-0.29104233  0.0959923   0.09320423]
  [-0.0480946  -0.18223225 -0.09042951]
  [ 0.07854038 -0.22726953  0.10439   ]
  [-0.05906528  0.08698766  0.32555833]
  [-0.26397642  0.31162962  0.6409155 ]
  [ 0.0245849  -0.38613144 -0.50963503]
  [-0.12787744 -0.42457014 -0.3391788 ]
  [ 0.06162868 -0.55546224 -0.22327818]
  [ 0.20885824 -0.56888837 -0.01867747]
  [ 0.26019326 -0.42241323  0.19592842]
  [ 0.41914573 -0.36275318  0.04160939]
  [ 0.15419082 -0.60066706 -0.14370961]
  [ 0.16245307 -0.765487   -0.20350565]
  [ 0.2515079  -0.665394   -0.27412996]
  [ 0.2535953  -0.71442604 -0.24204889]
  [ 0.20305136 -0.69769317 -0.27920157]
  [ 0.22575524 -0.7178561  -0.14874311]
  [ 0.12375376 -0.6856959  -0.22672175]]]
